#source: https://www.kaggle.com/nathanlauga/nba-games
SEASON|DATE|TEAM_home|TEAM_away|PTS_home|PTS_away|REB_home|REB_away|AST_home|AST_away|FG3_PCT_home|FG3_PCT_away
2019|2020-08-21|Brooklyn Nets|Toronto Raptors|92|117|42|56|24|35|31.4|47.4
2019|2020-08-21|Utah Jazz|Denver Nuggets|124|87|50|45|27|20|48.6|31.6
2019|2020-08-21|Philadelphia 76ers|Boston Celtics|94|102|57|45|14|15|23.1|25.8
2019|2020-08-21|Dallas Mavericks|Los Angeles Clippers|122|130|42|44|27|24|39.5|41.2
2019|2020-08-20|Indiana Pacers|Miami Heat|100|109|38|41|25|27|35.3|51.4
2019|2020-08-20|Houston Rockets|Oklahoma City Thunder|111|98|41|48|21|15|33.9|34.4
2019|2020-08-20|Milwaukee Bucks|Orlando Magic|111|96|57|42|26|18|36.6|21.2
2019|2020-08-20|Los Angeles Lakers|Portland Trail Blazers|111|88|50|41|26|14|36.8|27.6
2019|2020-08-19|Toronto Raptors|Brooklyn Nets|104|99|44|46|22|25|25.7|34.1
2019|2020-08-19|Denver Nuggets|Utah Jazz|105|124|41|36|22|32|48.1|45.5
2019|2020-08-19|Boston Celtics|Philadelphia 76ers|128|101|43|38|20|21|44.2|23.8
2019|2020-08-19|Los Angeles Clippers|Dallas Mavericks|114|127|47|49|16|25|29.4|44.8
2019|2020-08-18|Milwaukee Bucks|Orlando Magic|110|122|47|48|28|29|33.3|39.0
2019|2020-08-18|Indiana Pacers|Miami Heat|101|113|37|35|22|22|41.7|37.1
2019|2020-08-18|Houston Rockets|Oklahoma City Thunder|123|108|36|46|25|22|38.5|37.1
2019|2020-08-18|Los Angeles Lakers|Portland Trail Blazers|93|100|55|50|22|18|15.6|38.2
2019|2020-08-17|Denver Nuggets|Utah Jazz|135|125|41|52|23|18|53.7|34.0
2019|2020-08-17|Toronto Raptors|Brooklyn Nets|134|110|47|45|26|33|50.0|31.0
2019|2020-08-17|Boston Celtics|Philadelphia 76ers|109|101|43|50|22|23|32.3|33.3
2019|2020-08-17|Los Angeles Clippers|Dallas Mavericks|118|110|45|41|18|18|34.2|34.9
2019|2020-08-15|Portland Trail Blazers|Memphis Grizzlies|126|122|39|49|20|30|37.5|56.0
2019|2020-08-14|Toronto Raptors|Denver Nuggets|117|109|51|41|27|27|51.4|42.1
2019|2020-08-14|Indiana Pacers|Miami Heat|109|92|51|48|32|14|39.5|26.3
2019|2020-08-14|Los Angeles Clippers|Oklahoma City Thunder|107|103|61|48|23|18|32.4|31.8
2019|2020-08-14|Houston Rockets|Philadelphia 76ers|96|134|27|51|25|31|25.0|47.4
2019|2020-08-13|Boston Celtics|Washington Wizards|90|96|51|56|22|22|22.9|38.5
2019|2020-08-13|Los Angeles Lakers|Sacramento Kings|122|136|47|44|29|37|42.9|44.7
2019|2020-08-13|Memphis Grizzlies|Milwaukee Bucks|119|106|55|45|36|27|39.4|31.7
2019|2020-08-13|Phoenix Suns|Dallas Mavericks|128|102|45|43|34|17|41.2|30.8
2019|2020-08-13|Utah Jazz|San Antonio Spurs|118|112|43|44|25|24|32.6|50.0
2019|2020-08-13|Brooklyn Nets|Portland Trail Blazers|133|134|46|42|28|25|42.4|33.3
2019|2020-08-13|Orlando Magic|New Orleans Pelicans|133|127|33|40|25|22|53.6|29.4
2019|2020-08-12|Houston Rockets|Indiana Pacers|104|108|49|54|20|25|28.1|35.5
2019|2020-08-12|Philadelphia 76ers|Toronto Raptors|121|125|47|47|27|28|42.5|41.9
2019|2020-08-12|Oklahoma City Thunder|Miami Heat|116|115|50|40|20|24|38.1|33.3
2019|2020-08-12|Denver Nuggets|Los Angeles Clippers|111|124|42|40|33|29|37.1|37.8
2019|2020-08-11|Orlando Magic|Brooklyn Nets|96|108|49|47|13|26|30.4|30.2
2019|2020-08-11|San Antonio Spurs|Houston Rockets|123|105|59|37|28|18|40.6|29.2
2019|2020-08-11|Philadelphia 76ers|Phoenix Suns|117|130|34|44|28|28|45.5|42.9
2019|2020-08-11|Memphis Grizzlies|Boston Celtics|107|122|44|46|26|29|24.1|43.2
2019|2020-08-11|Dallas Mavericks|Portland Trail Blazers|131|134|37|48|28|18|45.5|39.5
2019|2020-08-11|Sacramento Kings|New Orleans Pelicans|112|106|45|34|27|25|42.3|29.2
2019|2020-08-11|Washington Wizards|Milwaukee Bucks|113|126|44|53|22|25|34.3|47.4
2019|2020-08-10|Phoenix Suns|Oklahoma City Thunder|128|101|53|40|29|24|50.0|33.3
2019|2020-08-10|Utah Jazz|Dallas Mavericks|114|122|38|34|28|29|45.7|50.0
2019|2020-08-10|Milwaukee Bucks|Toronto Raptors|106|114|49|55|25|24|32.6|30.0
2019|2020-08-10|Miami Heat|Indiana Pacers|114|92|59|45|29|20|32.5|28.6
2019|2020-08-10|Los Angeles Lakers|Denver Nuggets|124|121|32|35|28|27|48.3|56.5
2019|2020-08-09|Oklahoma City Thunder|Washington Wizards|121|103|43|44|25|23|46.2|25.0
2019|2020-08-09|Toronto Raptors|Memphis Grizzlies|108|99|40|42|25|24|38.5|33.3
2019|2020-08-09|New Orleans Pelicans|San Antonio Spurs|113|122|48|51|30|22|40.0|39.3
2019|2020-08-09|Boston Celtics|Orlando Magic|122|119|54|52|32|24|30.0|31.9
2019|2020-08-09|Portland Trail Blazers|Philadelphia 76ers|124|121|41|48|19|24|31.4|46.7
2019|2020-08-09|Sacramento Kings|Houston Rockets|112|129|41|48|29|21|27.0|31.6
2019|2020-08-09|Los Angeles Clippers|Brooklyn Nets|120|129|39|46|23|32|36.1|46.5
2019|2020-08-08|Portland Trail Blazers|Los Angeles Clippers|117|122|41|45|24|24|39.5|44.1
2019|2020-08-08|Denver Nuggets|Utah Jazz|134|132|52|51|29|34|24.3|40.0
2019|2020-08-08|Indiana Pacers|Los Angeles Lakers|116|111|42|44|25|20|45.5|33.3
2019|2020-08-08|Miami Heat|Phoenix Suns|112|119|37|52|28|27|30.6|37.5
2019|2020-08-08|Dallas Mavericks|Milwaukee Bucks|136|132|54|55|37|26|32.1|34.1
2019|2020-08-07|San Antonio Spurs|Utah Jazz|119|111|47|49|27|25|40.9|43.2
2019|2020-08-07|Memphis Grizzlies|Oklahoma City Thunder|121|92|58|36|24|19|35.5|30.2
2019|2020-08-07|Brooklyn Nets|Sacramento Kings|119|106|44|50|30|19|42.5|30.0
2019|2020-08-07|Philadelphia 76ers|Orlando Magic|108|101|51|47|19|17|27.6|25.0
